Aroma,Flavor,Aftertaste,Acidity,Body,Balance
8.5,8.42,8.47,8.42,8.36,8.75
8.39,8.36,8.31,8.44,8.39,8.58
8.31,8.44,8.33,8.42,8.36,8.64
8.36,8.25,8.17,8.28,8.31,8.39
8.17,8.08,8.14,8.33,8.33,8.44
8.39,8.36,8.25,8.33,8.33,8.58
8.31,8.39,8.31,8.42,8.36,8.67
8.5,8.44,8.33,8.61,8.56,8.58
8.44,8.39,8.31,8.47,8.39,8.67
8.42,8.39,8.28,8.33,8.47,8.5
8.47,8.14,8.31,8.42,8.19,8.5
8.53,8.31,8.25,8.47,8.28,8.61
8.42,8.47,8.39,8.53,8.42,8.64
8.56,8.47,8.42,8.53,8.33,8.64
8.16,8.13,8.03,8.16,8.22,8.22
8.07,7.89,7.89,8.11,8,8.25
